Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
1944,0.05,219.4842142426901,11,22629,0.0
1966,0.05,165.81866528912767,11,22998,0.0
1988,0.05,157.10567089440576,11,23319,0.0
2010,0.05,156.99867852054834,11,23630,0.0
2032,0.05,156.9535469538207,11,24050,0.0
2054,0.05,202.42781170325196,11,24409,0.0
2076,0.05,184.83306616047568,11,24714,0.0
2098,0.05,240.89339862401795,11,25070,0.0
2120,0.05,267.63515368097956,11,25429,0.0
2142,0.05,185.14096912512974,11,25765,0.0
2164,0.05,203.35524509481104,11,26084,0.0
2186,0.05,212.53012713053437,11,26463,0.0
2208,0.05,129.09786069267753,11,26849,0.0
2230,0.05,129.09933451082168,11,27160,0.0
2252,0.05,129.1103923720906,11,27503,0.0
2274,0.05,129.12763872020452,11,27881,0.0
2296,0.05,129.12452664054666,11,28221,0.0
2318,0.05,129.14695019775425,11,28564,0.0
2340,0.05,138.40209158410352,11,28913,0.0
2362,0.05,194.163767143885,11,29250,0.0
2384,0.05,221.4055465412792,11,29655,0.0
2406,0.05,256.7289666503157,11,30023,0.0
2428,0.05,240.73184231074657,11,30422,0.0
2450,0.05,212.8169509590725,11,30756,0.0
2472,0.05,202.37835176614493,11,31048,0.0
2494,0.05,212.6018421445321,11,31366,0.0
2516,0.05,231.13937608205106,11,31755,0.0
2538,0.05,323.4606106628106,11,32138,0.0
2560,0.05,275.0971400566692,11,32520,0.0
2582,0.05,277.086911361317,11,32831,0.0
2604,0.05,285.39323725947503,11,33190,0.0
2626,0.05,231.26737201188143,11,33500,0.0
2648,0.05,274.91533154869853,11,33834,0.0
2670,0.05,248.33031463918067,11,34241,0.0
2692,0.05,230.6505397998908,11,34559,0.0
2714,0.05,166.41004165085266,11,34951,0.0
2736,0.05,294.8374336205274,11,35328,0.0
2758,0.05,175.94226670938218,11,35720,0.0
2780,0.05,212.77409826117412,11,36077,0.0
2802,0.05,259.1415060742087,11,36444,0.0
2824,0.05,212.87280066322367,11,36822,0.0
2846,0.05,194.3273713998695,11,37239,0.0
2868,0.05,302.0558816503812,11,37631,0.0
2890,0.05,240.2275917198474,11,38035,0.0
2912,0.05,231.52949763576353,11,38362,0.0
2934,0.05,241.07678582287272,11,38700,0.0
2956,0.05,220.265658271001,11,39072,0.0
2978,0.05,193.50453114717868,11,39493,0.0
3000,0.05,166.4541623581873,11,39942,0.0
3022,0.05,175.42416317016358,11,40362,0.0
3044,0.05,212.26870326125191,11,40762,0.0
3066,0.05,175.23082051649445,11,41060,0.0
3088,0.05,175.36644051943256,11,41542,0.0
3110,0.05,304.4937485743577,11,41995,0.0
3132,0.05,212.47514095725515,11,42365,0.0
3154,0.05,259.55362211807153,11,42779,0.0
3176,0.05,241.11968042087204,11,43148,0.0
3198,0.05,304.7258789738229,11,43564,0.0
3220,0.05,202.68125582825098,11,43968,0.0
3242,0.05,212.62320141743524,11,44333,0.0
3264,0.05,222.19488053823827,11,44757,0.0
3286,0.05,250.2410102867358,11,45125,0.0
3308,0.05,210.52544125902756,11,45532,0.0
3330,0.05,294.8832553499845,11,45912,0.0
3352,0.05,201.8532536176268,11,46382,0.0
3374,0.05,305.4781153318566,11,46840,0.0
