Rollouts,Reward,Samples,Timesteps,Alpha
33474,46.07535023272206,120,33474000,0.33324128497974065
33714,46.593385940385566,120,33714000,0.295009870618563
33954,46.64258239154998,120,33954000,0.27969487701930223
34194,46.72134910211736,120,34194000,0.36410262891151224
34436,46.59398507382063,121,34436000,0.29862287399763526
34678,46.435536409443465,121,34678000,0.34659594103147545
34920,46.68458824038215,121,34920000,0.44602028874988947
35162,46.87254996834134,121,35162000,0.41300292000745825
35404,46.75410178205887,121,35404000,0.3832734539507126
35648,46.64863829289658,122,35648000,0.39601235901504384
35892,46.585569784687905,122,35892000,0.3941849071449813
36136,46.77259554256502,122,36136000,0.3587567966196954
36380,45.974682526230765,122,36380000,0.3628066402694644
36626,46.36734669343903,123,36626000,0.31115949666442994
36870,46.458702423328205,122,36870000,0.3640813877203613
37114,46.465500921927195,122,37114000,0.41997026683097033
37360,46.262054112316356,123,37360000,0.3252383991440586
37606,46.22600214221074,123,37606000,0.44129014487217066
37852,46.04766839650145,123,37852000,0.4488866752998994
38098,46.37811473984133,123,38098000,0.3304536458798575
38344,46.2494056925067,123,38344000,0.390905320061499
38590,45.86180305806386,123,38590000,0.4516953387408467
38836,46.607207059122274,123,38836000,0.4569615975448408
39084,46.23509088855036,124,39084000,0.39069470850319965
39332,46.47178230998,124,39332000,0.4492384323953087
39580,46.272770744061305,124,39580000,0.4543996451309946
39828,45.18658180963145,124,39828000,0.4075556661226427
40076,46.38115409392909,124,40076000,0.4566433931911797
40326,45.82051750360611,125,40326000,0.4783302675781191
40576,46.72866425844758,125,40576000,0.5162522645170351
40826,46.73170325005704,125,40826000,0.49882921528703794
41076,46.04595151691025,125,41076000,0.5586446267875437
41328,46.38737059859765,126,41328000,0.47580002989575865
41580,46.24738772744564,126,41580000,0.44752161561688425
41832,46.55753968900357,126,41832000,0.5034774661821753
42084,46.32152710641226,126,42084000,0.42909303984922476
42336,46.479568974107075,126,42336000,0.4047107923769406
42588,46.59278667500734,126,42588000,0.32617294780618955
42840,46.52995613737457,126,42840000,0.3806512124016865
43092,46.60065641046193,126,43092000,0.46233245568060205
43344,45.924075836304056,126,43344000,0.41748411141045266
43596,46.23786871962532,126,43596000,0.4741483794115921
43850,46.54419705825148,127,43850000,0.3769604302989451
44104,46.394741148093395,127,44104000,0.40849633452789813
44358,46.59739031116087,127,44358000,0.4230299249903455
44612,46.57419664800178,127,44612000,0.4060836513438099
44866,46.466032279959585,127,44866000,0.47380265317919695
45120,46.43337213712792,127,45120000,0.46094510471020556
45374,46.2829241095269,127,45374000,0.5076219905671141
45628,46.6434994141081,127,45628000,0.5197765809124971
45884,46.43653751819667,128,45884000,0.4843933249080322
46140,46.15613439632101,128,46140000,0.5333968599379045
46396,46.59001456978882,128,46396000,0.5210768883174469
46652,46.34703070301115,128,46652000,0.4981196997272466
46910,46.21358536151979,129,46910000,0.5265264348837088
47168,46.32360676495049,129,47168000,0.5547775032758522
47426,46.40773555371494,129,47426000,0.5718460720161792
