Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
21624,0.05,582.8809412205658,204,21624000,1.0
22032,0.05,474.0762628216586,204,22032000,1.0
22440,0.05,531.9140446300898,204,22440000,1.0
22848,0.05,474.9877121390497,204,22848000,1.0
23256,0.05,559.0084839627079,204,23256000,1.0
23664,0.05,554.7605777566223,204,23664000,1.0
24072,0.05,520.7376978100272,204,24072000,1.0
24480,0.05,506.47918772437805,204,24480000,1.0
24888,0.05,623.3336421437032,204,24888000,1.0
25296,0.05,610.9070292991661,204,25296000,1.0
25704,0.05,519.526381137867,204,25704000,1.0
26112,0.05,509.1138444047216,204,26112000,1.0
26520,0.05,584.3450347225231,204,26520000,1.0
26928,0.05,563.822987374375,204,26928000,1.0
27336,0.05,557.2371484006502,204,27336000,1.0
27744,0.05,570.9617696056414,204,27744000,1.0
28152,0.05,532.9504775895532,204,28152000,1.0
28560,0.05,595.6727459776134,204,28560000,1.0
28968,0.05,578.4100417840367,204,28968000,1.0
29376,0.05,516.1602496075509,204,29376000,1.0
29784,0.05,468.00575907417874,204,29784000,1.0
30192,0.05,535.2071414899522,204,30192000,1.0
30600,0.05,618.0932436071373,204,30600000,1.0
31008,0.05,506.0404819392176,204,31008000,1.0
31416,0.05,582.6335879416982,204,31416000,1.0
31824,0.05,581.7999473270183,204,31824000,1.0
32232,0.05,607.6745764551302,204,32232000,1.0
32640,0.05,528.5263150378208,204,32640000,1.0
33048,0.05,462.82921326699415,204,33048000,1.0
33456,0.05,602.0712352107896,204,33456000,1.0
33864,0.05,589.7909393469263,204,33864000,1.0
34272,0.05,537.9359807689497,204,34272000,1.0
34680,0.05,595.9681467607586,204,34680000,1.0
35088,0.05,540.824191207452,204,35088000,1.0
35496,0.05,526.844056566067,204,35496000,1.0
35904,0.05,498.5381728107439,204,35904000,1.0
36312,0.05,576.4685709578773,204,36312000,1.0
36720,0.05,647.6071646120348,204,36720000,1.0
37128,0.05,504.846920203583,204,37128000,1.0
37536,0.05,559.5519168708037,204,37536000,1.0
37944,0.05,547.6323327565635,204,37944000,1.0
